relation,en_layer,en_head,en_accuracy_%,en_support,hi_layer,hi_head,hi_accuracy_%,hi_support,ja_layer,ja_head,ja_accuracy_%,ja_support,de_layer,de_head,de_accuracy_%,de_support
acl,5,4,45.5,1970,6,3,41.5,1755,6,3,34.6,4201,7,1,27.9,1131
advcl,3,0,26.0,1824,5,11,33.9,2536,8,11,23.3,4286,4,1,27.3,608
advmod,5,8,58.0,4317,1,2,60.5,2233,5,8,47.4,1019,6,8,54.7,7798
amod,8,4,87.9,5181,5,8,80.4,7674,,,,,5,8,90.9,6859
appos,5,5,42.5,1184,,,,,,,,,5,4,50.9,2638
aux,5,8,87.8,3868,2,7,82.9,12565,2,2,64.1,13255,5,8,86.2,2861
case,5,8,81.5,9750,6,2,87.0,37057,2,7,85.7,25183,5,8,82.2,10960
cc,6,3,65.0,3208,6,3,44.1,3524,,,,,6,3,64.7,3763
ccomp,4,1,33.2,1110,,,,,,,,,,,,
compound,6,5,81.2,5160,5,3,79.0,19846,4,4,65.2,15316,4,8,95.0,657
conj,8,5,58.0,3670,8,5,55.0,4004,,,,,8,5,56.7,5049
cop,5,8,74.7,1822,5,8,87.4,1910,5,4,79.3,1564,5,8,79.6,1876
dep,,,,,5,4,65.8,2726,,,,,,,,
det,5,8,90.9,8764,5,8,92.1,4046,,,,,5,8,91.7,14528
fixed,,,,,,,,,4,10,83.5,1897,,,,
flat,5,4,85.2,1123,,,,,,,,,5,4,80.0,3323
iobj,,,,,3,4,22.6,1361,,,,,3,4,51.7,632
mark,5,8,64.4,3862,3,1,42.2,8015,5,4,65.0,4778,5,8,64.1,1435
nmod,5,8,49.8,5825,2,1,51.2,18629,2,1,41.5,7909,3,4,36.5,8061
nsubj,7,10,52.5,8185,3,4,30.4,11984,5,2,39.0,4595,3,4,43.9,9042
nummod,5,8,79.9,1669,5,8,87.5,3151,5,8,55.6,3196,5,8,91.0,1248
obj,7,3,75.9,5152,8,3,29.1,9277,8,3,66.7,3162,8,3,55.8,3761
obl,5,5,30.9,4990,3,4,20.0,17476,5,2,34.2,8201,3,4,39.7,6529
parataxis,3,0,24.2,579,,,,,,,,,,,,
punct,6,8,25.2,13522,2,2,27.1,12993,2,2,38.4,11722,5,8,26.3,16397
xcomp,5,6,66.8,1465,,,,,,,,,3,4,49.9,882
